url,product_name,price,availability,features,specifications
https://hexxone.com/laptops-by-brand/acer/acer-aspire-14-a14-51m-2024-14th-gen-core-5-8gb-ram-512gb-ssd-14-inch-fhd-display-2-year-warranty-in-nepal-metalic-body?limit=30,Acer Aspire 14 A14-51M 2024 14th Gen Core 5 - 8GB RAM - 512GB SSD - 14-inch FHD Display - 2 Year Warranty in Nepal - Metalic Body,"NPR 83,000.00",Availability: Out Of Stock,Model: Acer Aspire 5 A15 2024 ( A14-51M -5712 ) | Processor: Intel® Core™ 5 processor 120U | RAM: 8GB LPDDR5 RAM | Storage: 512GB SSD | Display: 14-inch IPS display with WUXGA (1920 x 1200 pixels) resolution | Graphic: Intel UHD Graphics | Warranty: 2 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A15 2024 ( A14-51M -5712 )"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ 5 processor 120U (2.0 up to 5.0 GHz / 12MB Cache)"", ""Memory"": ""8GB LPDDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen4 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel® Graphics"", ""Display Screen / Design / Resolution"": ""114-inch 16:10 WUXGA (1920 x 1200) IPS, Anti-Glare LED-backlit TFT LCD"", ""Camera"": ""Acer FHD webcam, 1920 x 1080 resolution"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""Wi-Fi 6 Bluetooth 5.1"", ""Keyboard Feature"": ""Non-Backlit"", ""Sensors"": ""No FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB4® 40Gbps • DisplayPort over USB-C • Thunderbolt 4 • USB charging 5 V; 3 A • DC-in port 20 V; 65 W 2x USB Standard-A ports, supporting: • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 1 featuring power off USB charging 1x HDMI 2.1 port with HDCP support 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""50 Wh 3-cell Li-ion battery"", ""Dimensions"": ""318.5 (W) x 225.5 (D) x 18.9 (H) mm"", ""Weight"": ""1.5Kg"", ""Warranty"": ""2-Year Local Warranty"", ""Acer Aspire 5 2024 Price in Nepal"": ""Rs.83,500""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-3-14-2023-ryzen-5-7520u-8gb-ram-512gb-ssd-14-inch-fhd-display-2-year-warranty-in-nepal?limit=30,Acer Aspire 3 14 2023 Ryzen 5 7520U - 8GB RAM - 512GB SSD - 14-inch FHD Display - 2 Year Warranty in Nepal,"NPR 68,500.00",Availability: Out Of Stock,Model : Acer Aspire 3 A314-23M-R55F | Processor : AMD Ryzen™ 5 7520U Mobile Processo | RAM : 8GB LPDDR5 RAM | Storage : 512GB SSD | Display : 14-inch IPS display with Full-HD (1920 x 1080 pixels) resolution | Graphic : AMD Shared | Warranty : 1 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 3 A315-24P-R5WD"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""AMD Ryzen™ 5 7520U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.3 GHz max boost)"", ""Memory"": ""8GB OnBoard DDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel UHD Graphics"", ""Display Screen / Design / Resolution"": ""14-inch IPS display; Full HD (1920 x 1080 pixels) resolution, high-brightness Acer ComfyView LED backlit TFT LCD"", ""Camera"": ""Acer HD webcam, 1280 x 720 resolution"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Non-Backlit"", ""Sensors"": ""No FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • DisplayPort over USB-C • USB charging 5 V; 3 A • DC-in port 19 V; 45 W 2x USB Standard A ports supporting • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 2 1x HDMI® 2.1 port with HDCP support 1x DC-in jack for AC adapter 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""40 Wh 3-cell Li-ion battery"", ""Dimensions"": ""18mm x 328.3mm x 217.2mm"", ""Weight"": ""1.4kg"", ""Warranty"": ""1-Year Local Warranty"", ""Acer Aspire 3 2023 Price in Nepal"": ""Rs. 75000""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-3-14-ryzen-5-3500-8gb-ram-256gb-ssd-14-inch-hd-display?limit=30,Acer Aspire 3 14 Ryzen 5 3500 - 8GB RAM - 256GB SSD - 14-inch HD Display,"NPR 48,500.00",Availability: Out Of Stock,Model: Acer Aspire 3 | Processor: AMD ryzen 5 3500U | RAM: 8GB | Storage: 256GB | Display: 11.6-inch IPS display | Graphic: 14 inches 1920 x 1080 pixelsFull HD Anti-glare Display | Warranty: 1 Year Warranty,"{""CPU"": ""AMD Ryzen 5 3500U Quad-core (4 Core™) 2.10 GHz-3.70 GHz Cache 4 MB"", ""Operating System"": ""DOS"", ""Screen"": ""14\"" LCD ComfyView In-plane Switching (IPS) Technology HD 1366 x 768 LED"", ""RAM"": ""8GB"", ""Hard Drive"": ""256GB SSD"", ""Graphics Coprocessor"": ""Intel HD"", ""Wireless"": ""802.11 A/C"", ""Extensions"": ""2 x USB 3.1 Gens 1 ports with one featuring power-off USB charging 1 x USB 2.0 ports 1 x HDMI® port with HDCP support 1 x 3.5 mm headphone/speaker jack, supporting headsets with a built-in microphone 1 x Ethernet (RJ-45) port 1 x DC-in jack for AC adapter"", ""Computer Memory"": ""DDR4 SDRAM"", ""Batteries"": ""3-cell 3220 MAH"", ""Weight"": ""1.9Kg""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-3-2021-i5-11th-gen-8gb-ram-1tb-hdd-256gb-ssd-nvidia-mx350-2gb-156-inch-fhd-display?limit=30,Acer Aspire 3 2021 i5 11Th Gen - 8GB RAM - 1TB HDD - 256GB SSD - NVIDIA MX350 2GB - 15.6-inch FHD Display,"NPR 72,500.00",Availability: Out Of Stock,"Model: Acer Aspire 3 2021 | Processor: 11th GenerationIntel Core i5-1135G7 | RAM: 8GB (Upgradable up to 16GB) | Storage: 1TB HDD + 256GB SSD | Display: 15.6"" LCD ComfyView In-plane Switching (IPS) Technology FHD 1920 x 1080 LED | Graphic: NVIDIA MX350 2GB Graphic | Warranty: 1 Year Warranty","{""Brand"": ""Acer"", ""CPU"": ""Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)"", ""Operating System"": ""Windows 11 Genuine"", ""Screen"": ""15.6\"" LCD ComfyView In-plane Switching (IPS) Technology FHD 1920 x 1080 LED"", ""Type"": ""Budget Notebook"", ""RAM"": ""8GB (Upgradable up to 16GB)"", ""Hard Drive"": ""1TB HDD + 256GB SSD"", ""Graphics Coprocessor"": ""NVIDIA MX350 2GB Graphic"", ""Wireless"": ""802.11 A/C"", ""Extensions"": ""2x USB 3.2 Gen 1 ports 1x Ethernet (RJ-45) port 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone 1x HDMI 1.4 port with HDCP support 1x USB 2.0 port 1x DC-in jack for AC adapter"", ""Computer Memory"": ""DDR4 SDRAM"", ""Batteries"": ""36.7 Wh 2-cell Li-ion battery"", ""Weight"": ""1.7Kg""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-3-core-i5-10th-gen-8gb-ram-256gb-ssd-156-inch-hd-display?limit=30,Acer Aspire 3 Core i5 10Th Gen - 8GB RAM - 256GB SSD - 15.6-inch HD Display,"NPR 58,500.00",Availability: Out Of Stock,Model: Acer Aspire 3 | Processor: Intel Core i5 10th Gen | RAM: 8GB LPDDR4 RAM | Storage: 256GB SSD | Display: 15.6-inch IPS display; Full-HD (1920 x 1080 Pixels) Resolution | Graphic: Intel HD | Warranty: 1 Year Warranty,"{""CPU"": ""Intel® Core™ i5-1035G1 Processor 6M Cache, 1.00 GHz up to 3.60 GHz"", ""Operating System"": ""DOS"", ""Screen"": ""15.6\"" LCD ComfyView In-plane Switching (IPS) Technology HD 1366 x 768 LED"", ""RAM"": ""8GB (Upgradable upto 16GB)"", ""Hard Drive"": ""256GB SSD ( HDD can be added additional)"", ""Graphics Coprocessor"": ""Intel HD"", ""Wireless"": ""802.11 A/C"", ""Extensions"": ""2 x USB 3.1 Gens 1 ports with one featuring power-off USB charging 1 x USB 2.0 ports 1 x HDMI® port with HDCP support 1 x 3.5 mm headphone/speaker jack, supporting headsets with a built-in microphone 1 x Ethernet (RJ-45) port 1 x DC-in jack for AC adapter"", ""Computer Memory"": ""DDR4 SDRAM"", ""Batteries"": ""36.7 Wh 2-cell Li-ion battery"", ""Weight"": ""1.9Kg""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-5-14-2023-13th-gen-i5-8gb-ram-512gb-ssd-14-inch-wuxga-display-2-year-warranty-in-nepal?limit=30,Acer Aspire 5 14 2023 13th Gen i5 - 8GB RAM - 512GB SSD - 14-inch WUXGA Display - 2 Year Warranty in Nepal,"NPR 78,500.00",Availability: Out Of Stock,Model: Acer Aspire 5 A514-56M-55TS | Processor: Intel® Core™ i5-1335U processor | RAM: 8GB LPDDR5 RAM | Storage: 512GB SSD | Display: 14-inch IPS display with Full-HD (1920 x 1080 pixels) resolution | Graphic: Intel UHD Graphics | Warranty: 2 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A514-56M-55TS"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ i5-1335U processor (Up to 4.6GHz, 12MB smart cache , Deca Core )"", ""Memory"": ""8GB  DDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel UHD Graphics"", ""Display Screen / Design / Resolution"": ""14-inch IPS display; WUXGA (1920 x 1200 pixels) resolution, high-brightness Acer ComfyView LEDbacklit TFT LCD"", ""Camera"": ""FHD (1920 x 1080) with Blue Glass"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Backlit"", ""Sensors"": ""FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • DisplayPort over USB-C • USB charging 5 V; 3 A • DC-in port 19 V; 45 W 2x USB Standard A ports supporting • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 2 1x HDMI® 2.1 port with HDCP support 1x DC-in jack for AC adapter 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""40 Wh 3-cell Li-ion battery"", ""Dimensions"": ""12.53\"" (W) x 8.88\"" (D) x 0.70\"" (H)"", ""Weight"": ""3.75Lb"", ""Warranty"": ""2-Year Local Warranty"", ""Acer Aspire 5 14 2023 Price in Nepal"": ""Rs. 89,000""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-5-14-2023-13th-gen-i7-16gb-ram-512gb-ssd-nvidia-rtx-2050-4gb-14-inch-wuxga-display-2-year-warranty-in-nepal?limit=30,Acer Aspire 5 14 2023 13th Gen i7 - 16GB RAM - 512GB SSD - NVIDIA RTX 2050 4GB - 14-inch WUXGA Display - 2 Year Warranty in Nepal,"NPR 124,500.00",Availability: Out Of Stock,Model: Acer Aspire 5 A514-56GM-701U | Processor: Intel® Core™ i7-1355U processor | RAM: 16GB DDR4 RAM | Storage: 512GB SSD | Display: 14-inch 16:10 IPS display; WUXGA (1920 x 1200 pixels | Graphic: NVIDIA® GeForce® RTX2050 4GB GDDR6 | Warranty: 2 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A514-56GM-701U"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ i7-1355U processor (Up to 5GHz, 12MB smart cache , Deca Core )"", ""Memory"": ""16GB  DDR4 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""NVIDIA® GeForce® RTX2050 4GB GDDR6"", ""Display Screen / Design / Resolution"": ""14-inch 16:10 IPS display; WUXGA (1920 x 1200 pixels) resolution, high-brightness Acer ComfyView LEDbacklit TFT LCD"", ""Camera"": ""FHD (1920 x 1080) with Blue Glass"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Backlit"", ""Sensors"": ""FingerPrint"", ""Interface"": ""2x USB Standard-A ports, supporting: • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 1 featuring power-off USB charging 1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • Thunderbolt 4 • USB charging 5 V; 3 A • DC-in port 20 V; 65 W 1x DC-in jack for AC adapter 1x HDMI® 2.1 port with HDCP support 1x 3.5 mm headphone/speaker jack, supporting headsets with a built-in microphone 1x Ethernet (RJ-45) port"", ""Battery / Power Supply"": ""40 Wh 3-cell Li-ion battery"", ""Dimensions"": ""12.53\"" (W) x 8.88\"" (D) x 0.70\"" (H)"", ""Weight"": ""3.75Lb"", ""Warranty"": ""2-Year Local Warranty"", ""Acer Aspire 5 14 2023 Price in Nepal"": ""Rs. 141,000""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-5-14-2023-13th-gen-i7-8gb-ram-512gb-ssd-14-inch-wuxga-display-2-year-warranty-in-nepal?limit=30,Acer Aspire 5 14 2023 13th Gen i7 - 8GB RAM - 512GB SSD - 14-inch WUXGA Display - 2 Year Warranty in Nepal,"NPR 93,500.00",Availability: Out Of Stock,Model: Acer Aspire 5 A514-56M-71SV | Processor: Intel® Core™ i7-1355U processor | RAM: 8GB LPDDR5 RAM | Storage: 512GB SSD | Display: 14-inch IPS display with Full-HD (1920 x 1080 pixels) resolution | Graphic: Intel UHD Graphics | Warranty: 2 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A514-56M-71SV"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ i7-1355U processor (Up to 5GHz, 12MB smart cache , Deca Core )"", ""Memory"": ""8GB  DDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel IRIS XE Graphics"", ""Display Screen / Design / Resolution"": ""14-inch IPS display; WUXGA (1920 x 1200 pixels) resolution, high-brightness Acer ComfyView LEDbacklit TFT LCD"", ""Camera"": ""FHD (1920 x 1080) with Blue Glass"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Backlit"", ""Sensors"": ""FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • DisplayPort over USB-C • USB charging 5 V; 3 A • DC-in port 19 V; 45 W 2x USB Standard A ports supporting • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 2 1x HDMI® 2.1 port with HDCP support 1x DC-in jack for AC adapter 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""40 Wh 3-cell Li-ion battery"", ""Dimensions"": ""12.53\"" (W) x 8.88\"" (D) x 0.70\"" (H)"", ""Weight"": ""3.75Lb"", ""Warranty"": ""2-Year Local Warranty"", ""Acer Aspire 5 14 2023 Price in Nepal"": ""Rs. 96,000""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-5-14-2023-13th-gen-i7-8gb-ram-512gb-ssd-156-inch-wuxga-display-2-year-warranty-in-nepal?limit=30,Acer Aspire 5 14 2023 13th Gen i7 - 8GB RAM - 512GB SSD - 15.6-inch WUXGA Display - 2 Year Warranty in Nepal,"NPR 93,500.00",Availability: Out Of Stock,Model: Acer Aspire 5 A515-58P-70KL | Processor: Intel® Core™ i7-1355U processor | RAM: 8GB LPDDR5 RAM | Storage: 512GB SSD | Display: 15.6-inch IPS display with Full-HD (1920 x 1080 pixels) resolution | Graphic: Intel UHD Graphics | Warranty: 2 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A515-58P-70KL"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ i7-1355U processor (Up to 5GHz, 12MB smart cache , Deca Core )"", ""Memory"": ""8GB  DDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel IRIS XE Graphics"", ""Display Screen / Design / Resolution"": ""15.6-inch IPS display; FHD (1920 x 1080 pixels) resolution, high-brightness Acer ComfyView LEDbacklit TFT LCD"", ""Camera"": ""FHD (1920 x 1080) with Blue Glass"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Backlit"", ""Sensors"": ""FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • DisplayPort over USB-C • USB charging 5 V; 3 A • DC-in port 19 V; 45 W 2x USB Standard A ports supporting • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 2 1x HDMI® 2.1 port with HDCP support 1x DC-in jack for AC adapter 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""50 Wh 3-cell Li-ion battery"", ""Dimensions"": ""14.2\"" (W) x 9.3\"" (D) x 0.70\"" (H)"", ""Weight"": ""4.2 Lbs"", ""Warranty"": ""2-Year Local Warranty"", ""Acer Aspire 5 14 2023 Price in Nepal"": ""Rs. 96,000""}"
https://hexxone.com/laptops-by-brand/acer/acer-aspire-5-15-2023-13th-gen-i5-8gb-ram-512gb-ssd-156-inch-fhd-display-1-year-warranty-in-nepal?limit=30,Acer Aspire 5 15 2023 13th Gen i5 - 8GB RAM - 512GB SSD - 15.6-inch FHD Display - 1 Year Warranty in Nepal,"NPR 73,500.00",Availability: Out Of Stock,Model : Acer Aspire 5 A515 | Processor : Intel® Core™ i5-1335U processor | RAM : 8GB LPDDR5 RAM | Storage : 512GB SSD | Display : 15.6-inch IPS display with Full-HD (1920 x 1080 pixels) resolution | Graphic : Intel UHD Graphics | Warranty : 1 Year Warranty,"{""Brand"": ""Acer"", ""Series"": ""Acer Aspire Series"", ""Product Model No"": ""Acer Aspire 5 A515-58P-55AK"", ""Type"": ""Budget Notebook"", ""CPU / Processor"": ""Intel® Core™ i5-1335U processor (Up to 4.6GHz, 12MB smart cache , Deca Core )"", ""Memory"": ""8GB  DDR5 RAM"", ""Storage"": ""512GB PCIe NVMe Gen3 SSD"", ""Storage Capability"": ""NA"", ""Graphic Card"": ""Intel UHD Graphics"", ""Display Screen / Design / Resolution"": ""15.6-inch IPS display; Full HD (1920 x 1080 pixels) resolution, high-brightness Acer ComfyView LEDbacklit TFT LCD"", ""Camera"": ""Acer HD webcam, 1280 x 720 resolution"", ""Operation System"": ""Windows 11 Home"", ""Optical Drive"": ""-"", ""Audio & Video"": ""Speakers"", ""Network / Connectivity Technology"": ""802.11a/b/g/n/ac+ax wireless LAN Dual Band (2.4 GHz and 5 GHz) 2x2 MU-MIMO Technology Supports Bluetooth® 5.1 or above"", ""Keyboard Feature"": ""Non-Backlit"", ""Sensors"": ""No FingerPrint"", ""Interface"": ""1x USB Type-C port supporting: • USB 3.2 Gen 2 (up to 10 Gbps) • DisplayPort over USB-C • USB charging 5 V; 3 A • DC-in port 19 V; 45 W 2x USB Standard A ports supporting • One port for USB 3.2 Gen 1 • One port for USB 3.2 Gen 2 1x HDMI® 2.1 port with HDCP support 1x DC-in jack for AC adapter 1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"", ""Battery / Power Supply"": ""40 Wh 3-cell Li-ion battery"", ""Dimensions"": ""12.5\"" (W) x 9.5\"" (D) x 0.74\"" (H)"", ""Weight"": ""3.97Lb"", ""Warranty"": ""1-Year Local Warranty"", ""Acer Aspire 5 2023 Price in Nepal"": ""Rs. 75,000""}"
